Alabama ,"54,100 (46,400–61,900) ","7,500 (5,900–9,200) ","46,600 (39,000–54,200)"
Alaska ,"7,200 (6,100–8,300) ","1,100 (800–1,400) ","6,100 (5,000–7,200)"
Arizona ,"77,000 (66,400–87,500) ","11,200 (8,900–13,600) ","65,700 (55,400–76,000)"
Arkansas ,"32,800 (28,000–37,600) ","4,900 (3,700–6,100) ","28,000 (23,300–32,600)"
California ,"427,700 (372,600–482,900) ","59,800 (49,000–70,600) ","367,900 (313,800–422,000)"
Colorado ,"56,800 (48,300–65,300) ","7,800 (6,000–9,600) ","49,000 (40,700–57,300)"
Connecticut ,"35,900 (30,400–41,400) ","4,500 (3,400–5,700) ","31,400 (26,000–36,800)"
Delaware ,"9,700 (8,200–11,100) ","1,300 (900–1,600) ","8,400 (7,000–9,900)"
District of Columbia ,"7,500 (6,300–8,800) ","800 (600–1,100) ","6,700 (5,500–7,900)"
Florida ,"223,900 (194,100–253,800) ","27,300 (21,900–32,800) ","196,600 (167,200–225,900)"
Georgia ,"110,200 (94,900–125,500) ","16,700 (13,200–20,100) ","93,500 (78,600–108,500)"
Hawaii ,"14,000 (11,900–16,100) ","2,000 (1,500–2,400) ","12,000 (10,000–14,100)"
Idaho ,"16,800 (14,200–19,300) ","2,600 (2,000–3,200) ","14,200 (11,700–16,600)"
Illinois ,"136,600 (117,900–155,400) ","18,600 (14,900–22,400) ","118,000 (99,700–136,400)"
Indiana ,"69,500 (59,600–79,400) ","10,600 (8,300–13,000) ","58,900 (49,200–68,500)"
Iowa ,"31,400 (26,800–36,100) ","4,400 (3,400–5,400) ","27,000 (22,500–31,600)"
Kansas ,"29,900 (25,500–34,300) ","4,400 (3,400–5,400) ","25,500 (21,200–29,900)"
Kentucky ,"49,500 (42,000–57,000) ","6,800 (4,900–8,700) ","42,700 (35,500–50,000)"
Louisiana ,"54,900 (46,600–63,200) ","7,900 (6,200–9,700) ","47,000 (38,900–55,100)"
Maine ,"14,100 (11,900–16,300) ","1,700 (1,200–2,200) ","12,400 (10,300–14,600)"
Maryland ,"59,900 (50,700–69,100) ","7,900 (6,200–9,700) ","52,000 (42,900–61,000)"
Massachusetts ,"71,600 (60,900–82,300) ","8,400 (6,500–10,300) ","63,200 (52,600–73,700)"
Michigan ,"108,900 (93,300–124,500) ","13,600 (10,800–16,400) ","95,300 (79,900–110,600)"
Minnesota ,"53,700 (45,700–61,700) ","7,400 (5,900–9,000) ","46,300 (38,400–54,100)"
Mississippi ,"35,700 (30,600–40,700) ","5,100 (3,900–6,300) ","30,600 (25,700–35,500)"
Missouri ,"61,200 (52,400–70,000) ","8,300 (6,500–10,100) ","52,900 (44,200–61,600)"
Montana ,"10,800 (9,100–12,600) ","1,400 (1,000–1,800) ","9,400 (7,700–11,100)"
Nebraska ,"19,600 (16,600–22,500) ","2,800 (2,200–3,500) ","16,700 (13,800–19,600)"
Nevada ,"31,600 (26,800–36,400) ","4,400 (3,300–5,400) ","27,200 (22,500–31,900)"
New Hampshire ,"13,100 (11,100–15,200) ","1,500 (1,100–1,900) ","11,600 (9,600–13,700)"
New Jersey ,"92,700 (79,100–106,200) ","12,000 (9,500–14,500) ","80,600 (67,300–93,900)"
New Mexico ,"23,200 (19,800–26,500) ","3,400 (2,600–4,200) ","19,800 (16,400–23,100)"
New York ,"215,200 (186,300–244,000) ","26,600 (21,600–31,500) ","188,600 (160,200–217,100)"
North Carolina ,"110,100 (94,700–125,500) ","15,200 (11,800–18,500) ","94,900 (79,900–110,000)"
North Dakota ,"7,300 (6,200–8,500) ","1,000 (700–1,200) ","6,400 (5,300–7,500)"
Ohio ,"126,400 (109,300–143,400) ","16,900 (13,600–20,300) ","109,400 (92,700–126,200)"
Oklahoma ,"41,100 (34,900–47,300) ","6,400 (5,000–7,900) ","34,700 (28,700–40,700)"
Oregon ,"42,900 (36,300–49,400) ","5,400 (4,100–6,800) ","37,400 (31,000–43,900)"
Pennsylvania ,"133,000 (114,600–151,400) ","16,900 (13,500–20,200) ","116,100 (98,000–134,200)"
Rhode Island ,"11,100 (9,300–12,900) ","1,300 (900–1,700) ","9,800 (8,100–11,500)"
South Carolina ,"53,400 (45,500–61,300) ","7,100 (5,500–8,700) ","46,300 (38,500–54,000)"
South Dakota ,"8,900 (7,400–10,400) ","1,300 (900–1,600) ","7,600 (6,200–9,100)"
Tennessee ,"73,900 (62,900–84,800) ","10,000 (7,800–12,300) ","63,800 (53,100–74,600)"
Texas ,"292,900 (255,400–330,300) ","47,200 (38,500–56,000) ","245,600 (209,200–282,000)"
Utah ,"29,300 (24,900–33,600) ","5,300 (4,100–6,500) ","24,000 (19,800–28,200)"
Vermont ,"6,300 (5,300–7,300) ",700 (500–900) ,"5,600 (4,700–6,600)"
Virginia ,"84,800 (72,600–97,000) ","11,000 (8,800–13,200) ","73,800 (61,800–85,800)"
Washington ,"74,600 (64,000–85,200) ","10,200 (8,100–12,300) ","64,400 (54,000–74,800)"
West Virginia ,"21,500 (18,100–25,000) ","2,500 (1,900–3,100) ","19,000 (15,600–22,500)"
Wisconsin ,"59,600 (50,800–68,300) ","7,900 (6,300–9,500) ","51,700 (43,100–60,300)"
Wyoming ,"5,900 (5,000–6,800) ","800 (600–1,000) ","5,100 (4,200–6,000)"
